0, 11, 1
0, 21, 2
1, 10, 3
2, 18, 4
3, 13, 5
4, 20, 6
5, 12, 7
6, 22, 8
7, 11, 9
7, 21, 10
7, 33, 11
8, 23, 12
9, 10, 13
9, 33, 14
10, 18, 15
11, 11, 14
11, 34, 16
12, 24, 17
13, 33, 18
14, 10, 18
14, 34, 19
15, 20, 20
16, 11, 19
16, 21, 21
16, 31, 22
17, 11, 23
17, 26, 24
18, 34, 25
19, 10, 25
19, 31, 26
20, 22, 27
20, 33, 28
21, 18, 29
22, 11, 26
22, 32, 30
23, 10, 31
23, 26, 32
24, 11, 32
24, 28, 33
25, 13, 34
25, 31, 35
26, 10, 35
26, 32, 36
27, 23, 37
27, 33, 38
28, 22, 38
28, 34, 39
29, 20, 39
30, 11, 36
30, 21, 40
31, 13, 41
31, 26, 42
32, 10, 42
32, 28, 43
33, 11, 43
33, 21, 44
33, 41, 45
34, 12, 46
34, 31, 47
35, 13, 47
35, 32, 48
36, 10, 48
37, 24, 49
38, 34, 50
39, 22, 50
39, 31, 51
40, 18, 52
41, 12, 49
41, 26, 53
42, 13, 53
42, 28, 54
43, 10, 54
43, 41, 55
44, 18, 56
45, 11, 55
45, 40, 57
46, 11, 59
46, 21, 58
46, 31, 60
47, 12, 60
47, 32, 61
48, 13, 61
49, 11, 62
49, 26, 63
50, 23, 64
50, 31, 65
51, 22, 65
51, 32, 66
52, 20, 66
53, 12, 63
53, 28, 67
54, 13, 67
54, 41, 68
55, 10, 68
55, 40, 69
56, 20, 70
56, 41, 71
57, 11, 69
57, 21, 72
57, 42, 73
58, 18, 74
59, 10, 75
59, 31, 76
60, 11, 76
60, 32, 77
61, 12, 77
62, 10, 78
62, 26, 79
63, 11, 79
63, 28, 80
63, 33, 81
64, 24, 82
65, 32, 83
66, 22, 83
67, 12, 80
67, 41, 84
68, 13, 84
68, 40, 85
69, 10, 85
69, 42, 86
70, 22, 87
70, 41, 88
71, 20, 88
71, 40, 89
72, 18, 89
72, 42, 90
73, 11, 86
73, 21, 90
73, 43, 91
74, 20, 92
75, 31, 94
76, 10, 94
76, 32, 95
77, 11, 95
77, 21, 93
77, 33, 96
78, 26, 97
79, 10, 97
79, 28, 98
79, 33, 99
80, 11, 98
80, 21, 100
80, 33, 101
80, 41, 102
81, 11, 99
81, 28, 101
81, 34, 103
82, 11, 104
82, 26, 103
83, 23, 105
84, 12, 102
84, 40, 106
85, 13, 106
85, 42, 107
86, 10, 107
86, 43, 108
87, 41, 109
88, 22, 109
88, 40, 110
89, 20, 110
89, 42, 111
90, 18, 111
91, 11, 108
91, 44, 112
92, 22, 113
92, 31, 114
93, 18, 115
94, 32, 116
95, 10, 116
95, 33, 117
96, 11, 117
96, 34, 118
97, 28, 119
97, 33, 120
98, 10, 119
98, 33, 121
98, 41, 122
99, 10, 120
99, 28, 121
99, 34, 123
100, 18, 124
101, 11, 121
101, 34, 125
101, 41, 126
102, 11, 122
102, 33, 126
102, 40, 127
103, 11, 123
103, 28, 125
103, 31, 128
104, 10, 129
104, 26, 123
105, 24, 130
106, 12, 127
106, 42, 131
107, 13, 131
107, 43, 132
108, 10, 132
108, 44, 133
109, 40, 134
110, 22, 134
110, 42, 135
111, 20, 135
111, 43, 136
112, 11, 133
112, 46, 137
113, 23, 138
113, 31, 139
114, 22, 139
114, 32, 140
115, 20, 140
116, 33, 142
117, 10, 142
117, 34, 143
118, 11, 143
118, 21, 141
119, 33, 144
119, 41, 145
120, 28, 144
120, 34, 146
121, 10, 144
121, 34, 147
121, 41, 148
122, 10, 145
122, 33, 148
122, 40, 149
123, 10, 146
123, 28, 147
123, 31, 150
124, 20, 151
124, 41, 152
125, 11, 147
125, 21, 153
125, 31, 154
125, 41, 155
126, 11, 148
126, 34, 155
126, 40, 156
127, 11, 149
127, 21, 157
127, 33, 156
127, 42, 158
128, 11, 150
128, 28, 154
128, 32, 159
129, 13, 160
129, 26, 146
130, 11, 161
130, 26, 159
131, 12, 158
131, 43, 162
132, 13, 162
132, 44, 163
133, 10, 163
133, 46, 164
134, 42, 165
135, 22, 165
135, 43, 166
136, 20, 166
136, 44, 167
137, 11, 164
137, 21, 168
138, 24, 169
139, 32, 170
140, 22, 170
140, 33, 171
141, 18, 172
142, 34, 173
143, 10, 173
144, 34, 175
144, 41, 176
145, 33, 176
145, 40, 177
146, 13, 174
