0, 10, 1
0, 20, 2
0, 30, 3
1, 11, 4
1, 20, 5
1, 30, 6
2, 10, 7
2, 21, 8
2, 30, 9
3, 10, 10
3, 20, 11
3, 31, 12
4, 12, 0
4, 20, 13
4, 30, 14
5, 11, 13
5, 30, 15
6, 11, 14
6, 20, 16
7, 21, 17
7, 30, 18
8, 10, 17
8, 22, 0
8, 30, 19
9, 10, 20
9, 21, 19
10, 20, 21
10, 31, 22
11, 10, 23
11, 31, 24
12, 10, 22
12, 20, 24
12, 32, 0
13, 12, 2
13, 30, 25
14, 12, 3
14, 20, 26
15, 11, 25
16, 11, 26
17, 22, 1
17, 30, 27
18, 21, 27
19, 10, 28
19, 22, 3
20, 21, 28
21, 31, 29
22, 20, 29
22, 32, 1
23, 31, 30
24, 10, 30
24, 32, 2
25, 12, 9
26, 12, 11
27, 22, 6
28, 22, 10
29, 32, 5
30, 32, 7
